Mode,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),LOI(WT%),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),ND143_ND14,SR87_SR86,PB206_PB20,PB207_PB20,PB208_PB20,Ba/Th,La (PM),Sm (PM),La/Sm (PM),Crustal Thickness
Flat,45.93,1.56,15.81,10.17,11.21,11.01,0.18,1.42,3.15,0.57,0.9,31.38,,264.73,420.61,1407,46.9,201.85,64.9,80.75,20.11,30.63,837,23.69,146.8,16.49,1.58,563,35.69,72.62,9.17,36.47,7.36,2.08,6.85,0.911,4.96,0.848,2.27,0.31,1.82,0.274,3.67,0.914,7.73,7.46,1.48,0.512804,0.703845,18.5395,15.5874,38.4186,75.4691689,51.95050946,16.57657658,3.133970951,43
Flat,45.96,1.699,16.06,11.83,10.5,8.449,0.1651,0.8837,3.103,0.393,,33.20621853,,264.5069509,,,,,107.0468382,,19.59391113,15.94129942,618.8464512,24.30252543,140.3904817,13.64123898,0.407211959,307.3256862,16.95390465,34.49367375,4.752011669,22.10372551,5.475301117,1.800990724,5.424670856,0.865777469,4.846039298,0.959081807,2.535129513,0.346455645,2.140936764,0.318247357,3.63814592,0.810084181,6.061165569,2.036059794,0.485327219,,,,,,150.9413855,24.67817271,12.33175927,2.001188327,48.58000183
Flat,45.97,1.51,15.28,9.76,10.56,11.2,0.18,0.72,3.41,0.54,0.8,30.24,,272.82,402.09,1359,46.29,206.94,47.58,75.75,19.22,28.33,868,23.94,148.06,16.39,1.67,532,35.26,71.07,8.5,34.95,6.99,1.98,6.19,0.855,4.48,0.808,2.14,0.295,1.8,0.259,3.37,0.902,7.18,6.77,1.45,,,,,,78.58197932,51.32459971,15.74324324,3.260103329,43
Flat,45.99,2.34,15.6,11.14,9.96,6.23,0.16,1.01,3.8,0.46,1.8,21.36210631,1.329633058,190.1272293,126.3137222,0.125599471,46.58407207,71.02921706,47.67155562,101.0279548,22.05831181,11.74443258,670.1709576,22.96803273,125.3156279,23.16959804,0.195977276,277.2828139,16.71681162,36.33827009,4.78510823,21.23877439,5.112601618,1.868623905,5.468699216,0.803308214,4.479752663,0.821890514,2.087952338,0.279677715,1.661561721,0.243721739,2.982320855,1.287229381,1.264221225,1.335425676,0.452694761,0.5128103,0.7035476,18.42736818,15.59330424,38.3477073,207.6362757,24.33305913,11.51486851,2.113186018,37
Flat,46.04,1.9,23.9,11.58,4.41,3.24,,0.36,3.41,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,47.08000183
Flat,46.05,1.55,15.57,9.7,11.09,9.07,0.17,1.11,2.93,0.48,0.8,31.11504485,0.922032495,264.6583719,287.6070299,0.127013819,46.47856823,138.9156881,54.17741701,75.7699436,19.65262972,25.16402162,718.3983827,23.87419762,128.2357824,14.28907866,0.958954331,477.761763,26.1983083,52.19723886,6.562541701,26.97182087,5.744074758,1.788821149,5.520782644,0.817077667,4.476571487,0.854577653,2.360574104,0.328313689,2.025665547,0.287525787,3.150897383,0.734283074,7.433315937,5.53675594,1.322309454,,,,,,86.28911373,38.13436434,12.93710531,2.947673643,38.84000015
Flat,46.06,1.46,14.65,9.1,10.54,10.17,0.16,1.42,3.24,0.62,1.1,26.13890218,0.851911851,241.9855566,433.8021692,0.117017613,43.68539626,204.7081464,54.90211614,70.87582425,19.3071043,34.11927325,879.1741386,22.19361255,137.6374948,18.35430945,1.272318618,586.5682832,29.06813522,59.23500873,7.37202336,30.75436733,6.498678787,1.936538273,6.052964096,0.852621015,4.30788594,0.792977199,2.105210526,0.274728083,1.725439306,0.261529678,3.207474539,0.971355074,8.148977864,4.887919942,1.226808214,0.512809,0.703911,18.528,15.596,38.403,120.0036601,42.3116961,14.63666393,2.890801913,48.58000183
Flat,46.06,1.98,16.49,11.45,10.28,6.913,0.1575,1.295,3.502,0.4756,,31.33348797,,261.7225593,,,,,47.52066216,,19.2236153,21.4489031,693.500177,23.73161769,173.6442323,19.0585133,0.826945662,317.139404,20.53725294,42.41685691,5.644334843,25.24624907,5.864710119,1.815404148,5.807283337,0.895139965,4.86691978,0.93031387,2.501654194,0.329486162,2.198010084,0.314411632,4.285473612,1.186580884,3.660957357,2.735668331,0.765929706,,,,,,115.9275781,29.89410908,13.20880657,2.263195309,36.16999817
Flat,46.09,1.79,16.32,9.61,10.75,7.72,0.16,1.23,3.19,0.49,1.2,28.10494126,1.002228378,238.610331,199.7686092,0.119507502,42.71639511,89.29353591,53.34935412,70.08691133,19.19045711,22.30951957,712.8218547,24.37873956,147.3170419,19.88624221,0.873248335,386.7133785,21.48534963,44.68393024,5.860407549,25.01756384,5.510049237,1.769406802,5.388983396,0.805709372,4.525755351,0.858834122,2.380602788,0.33125588,2.02130471,0.303180691,3.273015651,1.093229308,4.044001057,3.055880455,0.862438125,,,,,,126.5472862,31.27416249,12.4100208,2.520073333,36.16999817
Flat,46.11,1.84,16.11,9.91,10.54,8.07,0.16,1.14,3.47,0.5,0.7,26.54100313,1.012782979,238.1699054,180.1549601,0.115535922,44.11679553,98.13069048,53.67180447,76.01540194,19.8896266,22.44708048,750.405916,24.76350037,153.5,18.11683939,0.791169903,400.4312467,21.51308218,46.48218442,6.179743116,25.89755911,5.871284588,1.861056122,5.709509,0.852348421,4.672602062,0.884587097,2.341915789,0.332047893,1.975948746,0.295657143,3.665,0.967166013,4.344267073,2.844731086,0.853988172,0.512792,0.703962,18.45,15.578,38.323,140.7624252,31.3145301,13.22361394,2.368076552,48.58000183
Flat,46.12,1.55,18,9.84,12.81,5.94,0.17,1.22,3.04,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
Flat,46.13,1,21.12,,11.6,3.86,0.15,0.2,2.61,0.1,3.32,32,,287,48,,32,15,66,84,,,315,18,33,3,,55,3,7,,6,1.85,0.74,2.45,,2.9,0.6,1.76,,1.78,0.26,,,,,,,,,,,,4.366812227,4.166666667,1.048034934,42
Flat,46.21,1.71,16.27,10.73,10.21,8.78,0.16,0.88,3.09,0.38,0,34.21145701,1.097051669,267.872698,275.2805981,0.139436548,64.51952341,144.2363576,64.44877614,89.75146997,21.67909738,18.40019991,627.4272054,25.03197833,139.005008,14.68820804,0.450429813,348.560272,16.95307667,37.94225896,5.201841474,22.97614421,5.371071061,1.862532244,5.494653635,0.852152454,4.811972534,0.934504693,2.493520998,0.354519019,2.150349332,0.312807294,3.424722115,0.918112521,2.949660325,2.025696888,0.521633128,,,,,,172.0693131,24.6769675,12.09700689,2.039923405,48.58000183
Flat,46.22,1.81,15.22,9.22,10.36,6.95,0.15,1.59,3.69,0.59,2.8,22.18019083,1.078285007,185.8750675,261.1641269,0.118996866,40.61691311,170.4136786,55.7262521,83.77714718,20.07665129,36.11351734,785.5588895,23.1590908,180.9,28.35136891,1.071023088,395.1524477,25.22674945,51.55525149,6.14381438,26.40911877,5.737230723,1.848522027,5.71569646,0.812461362,4.464434154,0.784989274,2.214676425,0.301535163,1.891499952,0.264677101,4.185,1.511961354,3.264159976,3.426965454,1.13005553,0.5127946,0.7039139,18.39368626,15.58257984,38.32741998,115.306808,36.72015932,12.92169082,2.8417457,41
Flat,46.24,1.49,15.9,9.65,12.2,8.32,0.18,1.23,3.18,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
Flat,46.26,2.283,16.62,10.86,9.658,6.142,0.1472,1.292,3.542,0.5642,,27.85036537,,250.8191072,,,,,46.06881561,,20.79945744,20.18664847,807.7543194,24.52677789,202.4432461,26.56707129,0.624344199,396.3792617,21.90972311,46.1048632,5.971643188,26.82661391,6.265070543,2.056154337,6.034365989,6.870669997,4.909681288,0.997076244,2.501702507,0.343893976,2.220531332,0.322986375,4.924100323,1.585372857,4.614091079,2.476469196,0.733928862,,0.704027,,,,160.0582242,31.89188226,14.11051924,2.260149447,36.16999817
Flat,46.27,2.185,16.37,11.65,10.52,5.979,0.1598,1.009,3.768,0.4335,,32.57964041,,277.5543071,,,,,49.82853369,,20.08284607,15.69851199,659.9576561,25.20992095,169.8208348,17.37148157,0.537225146,280.3666266,17.86183473,38.79558774,5.24173099,23.85423871,5.985192904,1.890022964,5.869815691,0.972053016,5.134285961,1.0275783,2.63276377,0.34541053,2.343599631,0.313681797,4.355489776,1.065075894,4.182423957,2.050829954,0.597798183,,,,,,136.7088607,25.99975943,13.4801642,1.928742043,36.16999817
Flat,46.27,2.74,16.75,10.82,9.15,5.2,0.16,1.73,4.25,0.6,0.8,19.02820141,1.535823501,211.1665446,37.24221128,0.119882859,45.46038455,29.59966982,40.38731608,101.3266567,22.36659188,29.88793314,783.7300791,25.98648975,184.1,32.87183481,0.697225003,442.8696325,23.52587625,50.57182318,6.706441298,28.70023452,6.477262663,2.22672513,6.462279742,0.980345589,5.225367674,0.962485042,2.466286076,0.334803825,2.03515528,0.298232372,4.293,1.820013381,2.450184291,2.48199249,0.809717277,0.5128397,0.703691,18.38083594,15.58152469,38.28518566,178.4331074,34.24436135,14.58842942,2.347364501,41
Flat,46.33,1.32,15.4,9.47,10.51,10.89,0.18,1.46,3.09,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
Flat,46.34,1.33,14.94,9.63,11.67,10.21,0.18,0.25,3.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
Flat,46.35,1.52,15.34,10.14,9.92,9.34,0.16,0.97,3.26,0.38,1,25.59466494,0.870143317,223.1679891,334.1102456,0.127785934,45.75469624,147.5967548,32.09568703,82.36391248,19.49765837,19.76390577,773.998091,23.0964425,114.1,10.42290892,0.692434764,511.3076889,19.14754163,39.68901301,5.06954032,22.08405274,5.017769123,1.594117766,5.111594461,0.768628757,4.159936616,0.804512069,2.235696698,0.293108416,1.828805248,0.278615232,2.926,0.546806085,5.860527303,3.81149099,0.968590189,0.512782,0.704082,18.531,15.593,38.383,134.1489958,27.87123964,11.30128181,2.466201632,36.84000015
